Symbol,Reason
BCC/USDT,Vol.24h (0.0) < 1000000
TUSD/USDT,Vol.24h (944006.8) < 1000000
VEN/USDT,Vol.24h (0.0) < 1000000
NULS/USDT,Vol.24h (431564.8) < 1000000
PAX/USDT,Vol.24h (0.0) < 1000000
BCHABC/USDT,Vol.24h (0.0) < 1000000
BSV/USDT,Vol.24h (0.0) < 1000000
WAVES/USDT,Vol.24h (0.0) < 1000000
BTT/USDT,Vol.24h (0.0) < 1000000
USDS/USDT,Vol.24h (0.0) < 1000000
XMR/USDT,Vol.24h (0.0) < 1000000
NANO/USDT,Vol.24h (0.0) < 1000000
OMG/USDT,Vol.24h (0.0) < 1000000
MITH/USDT,Vol.24h (0.0) < 1000000
MATIC/USDT,Vol.24h (0.0) < 1000000
USDSB/USDT,Vol.24h (0.0) < 1000000
GTO/USDT,Vol.24h (0.0) < 1000000
ERD/USDT,Vol.24h (0.0) < 1000000
NPXS/USDT,Vol.24h (0.0) < 1000000
COCOS/USDT,Vol.24h (0.0) < 1000000
TOMO/USDT,Vol.24h (0.0) < 1000000
PERL/USDT,Vol.24h (0.0) < 1000000
MFT/USDT,Vol.24h (0.0) < 1000000
KEY/USDT,Vol.24h (0.0) < 1000000
STORM/USDT,Vol.24h (0.0) < 1000000
DOCK/USDT,Vol.24h (0.0) < 1000000
WAN/USDT,Vol.24h (266227.2) < 1000000
BAND/USDT,Vol.24h (653951.5) < 1000000
BUSD/USDT,Vol.24h (0.0) < 1000000
BEAM/USDT,Vol.24h (0.0) < 1000000
REN/USDT,Vol.24h (0.0) < 1000000
HC/USDT,Vol.24h (0.0) < 1000000
NKN/USDT,Vol.24h (459428.4) < 1000000
ARPA/USDT,Vol.24h (660695.4) < 1000000
RLC/USDT,Vol.24h (797065.8) < 1000000
MCO/USDT,Vol.24h (0.0) < 1000000
DREP/USDT,Vol.24h (0.0) < 1000000
BULL/USDT,Vol.24h (0.0) < 1000000
BEAR/USDT,Vol.24h (0.0) < 1000000
ETHBULL/USDT,Vol.24h (0.0) < 1000000
ETHBEAR/USDT,Vol.24h (0.0) < 1000000
TCT/USDT,Vol.24h (0.0) < 1000000
BTS/USDT,Vol.24h (0.0) < 1000000
BNT/USDT,Vol.24h (233194.1) < 1000000
LTO/USDT,Vol.24h (971155.6) < 1000000
EOSBULL/USDT,Vol.24h (0.0) < 1000000
EOSBEAR/USDT,Vol.24h (0.0) < 1000000
XRPBULL/USDT,Vol.24h (0.0) < 1000000
XRPBEAR/USDT,Vol.24h (0.0) < 1000000
STRAT/USDT,Vol.24h (0.0) < 1000000
AION/USDT,Vol.24h (0.0) < 1000000
BNBBULL/USDT,Vol.24h (0.0) < 1000000
BNBBEAR/USDT,Vol.24h (0.0) < 1000000
