symbol,price,amount
SOL/USDT,236.17213333333333,3.0
SNT/USDT,0.042150770898839854,18446.0
ETH/USDT,3563.48,1.0272
BNB/USDT,652.19,1.155
TRX/USDT,0.20193470226537216,3090.0
NEO/USDT,14.514656363636364,55.0
QTUM/USDT,3.6338069264069266,231.0
GAS/USDT,5.662808510638298,141.0
ZRX/USDT,0.5569271070615034,1756.0
IOTA/USDT,0.22020157648061356,4694.0
LINK/USDT,17.942453191489363,47.0
MTL/USDT,1.4674476109215018,586.0
ETC/USDT,31.972803703703704,27.0
REQ/USDT,0.11595771408958297,5827.0
VIB/USDT,0.07709487518553501,7411.0
ENJ/USDT,0.28598432699817755,3841.0
STORJ/USDT,0.5988165407220822,1191.0
NULS/USDT,0.3786547138964578,1835.0
BAT/USDT,0.3013109907120743,3230.0
LSK/USDT,1.213189732142857,672.0
MANA/USDT,0.5864953250940355,1861.0
ADX/USDT,0.20917068260459265,3179.0
ICX/USDT,0.21053542107795958,4156.0
RLC/USDT,2.1895541420118345,338.0
PIVX/USDT,0.2689521739130435,2829.0
STEEM/USDT,0.25365966944701884,3237.0
ONT/USDT,0.26660526144852226,3079.0
WAN/USDT,0.22360953129915068,3179.0
TUSD/USDT,0.9831471298204298,6794.0
ZEN/USDT,15.062848571428571,70.0
IOTX/USDT,0.045247323574393705,13731.0
QKC/USDT,0.012885,18446.0
DATA/USDT,0.04540225830043363,15451.0
SC/USDT,0.006963,18446.0
DENT/USDT,0.001372,18446.0
ARDR/USDT,0.11533882863340564,6454.0
HOT/USDT,0.002809,18446.0
VET/USDT,0.04113541748888648,18446.0
RVN/USDT,0.02396689813509704,18446.0
DCR/USDT,16.09578772727273,44.0
REN/USDT,0.037527233585858584,15840.0
USDC/USDT,0.9947834991100408,9551.0
ONG/USDT,0.4213035848047084,1869.0
FET/USDT,1.4747104761904761,420.0
IOST/USDT,0.007889,18446.0
CELR/USDT,0.01987040371896346,18446.0
PHB/USDT,1.9922903426791276,321.0
TFUEL/USDT,0.07737596887550201,9960.0
ONE/USDT,0.023358122573999784,18446.0
FTM/USDT,1.0064082853855005,869.0
ALGO/USDT,0.29436308284291535,4418.0
DUSK/USDT,0.2301671048307591,3043.0
ANKR/USDT,0.04117598997072536,18446.0
COS/USDT,0.012171,18446.0
KEY/USDT,0.002155,18446.0
FUN/USDT,0.003755,18446.0
CVC/USDT,0.1664636469492315,4294.0
CHZ/USDT,0.09135327008928572,8960.0
BAND/USDT,1.6314291164658634,498.0
XTZ/USDT,1.2580227710843372,830.0
HBAR/USDT,0.13889832680669278,11236.0
NKN/USDT,0.10781281032770605,8056.0
STX/USDT,2.3002273556231003,329.0
